id,display_name,reputation,num_answers
2901002,jezrael,755922,26485
100297,Martijn Pieters,985470,19396
7964527,BENY,306449,10079
104349,Daniel Roseman,574111,8512
901925,hpaulj,207794,7811
7432,Bryan Oakley,348928,7149
190597,unutbu,796192,7128
1832058,furas,127432,6243
10035985,Andrej Kesely,133330,6211
771848,alecxe,447718,6149
16343464,mozway,112653,5995
908494,abarnert,340739,5936
20862,Ignacio Vazquez-Abrams,750526,5852
9209546,jpp,151593,5766
2336654,piRSquared,271801,5599
67579,Willem Van Onsem,409490,5571
1126841,chepner,460413,5493
4909087,cs95,345283,5441
4238408,Quang Hoang,138335,5436
6622587,eyllanesc,225515,5220
